Time,Host,File Size,Protocol,Speed (MB/s)
2025-08-21 03:10:59,Europe,100MB_file,rsync_hop,2.8
2025-08-21 03:11:59,Europe,100MB_file,rsync_ssh_reno,1.83
2025-08-21 03:12:25,Europe,10MB_file,rsync_hop,3.2
2025-08-21 03:12:48,Europe,10MB_file,rsync_ssh_reno,1.3
2025-08-21 03:18:00,Europe,1GB_file,rsync_hop,3.53
2025-08-21 03:21:32,Europe,1GB_file,rsync_ssh_reno,5.0
2025-08-21 03:22:30,Asia,100MB_file,rsync_hop,2.98
2025-08-21 03:22:55,Asia,100MB_file,rsync_ssh_reno,5.64
2025-08-21 03:23:23,Asia,10MB_file,rsync_hop,2.29
2025-08-21 03:23:33,Asia,10MB_file,rsync_ssh_reno,2.64
2025-08-21 03:29:42,Asia,1GB_file,rsync_hop,2.97
2025-08-21 03:33:34,Asia,1GB_file,rsync_ssh_reno,4.55
2025-08-21 03:34:21,USA,100MB_file,rsync_hop,4.22
2025-08-21 03:34:51,USA,100MB_file,rsync_ssh_reno,3.77
2025-08-21 03:35:13,USA,10MB_file,rsync_hop,4.82
2025-08-21 03:35:24,USA,10MB_file,rsync_ssh_reno,1.25
2025-08-21 03:38:57,USA,1GB_file,rsync_hop,5.3
2025-08-21 03:40:31,USA,1GB_file,rsync_ssh_reno,11.61
2025-08-21 03:41:34,Europe,100MB_file,rsync_hop,2.52
2025-08-21 03:42:34,Europe,100MB_file,rsync_ssh_reno,1.84
2025-08-21 03:42:59,Europe,10MB_file,rsync_hop,4.74
2025-08-21 03:43:21,Europe,10MB_file,rsync_ssh_reno,1.37
2025-08-21 03:49:23,Europe,1GB_file,rsync_hop,3.02
2025-08-21 03:52:37,Europe,1GB_file,rsync_ssh_reno,5.46
2025-08-21 03:53:34,Asia,100MB_file,rsync_hop,3.15
2025-08-21 03:54:55,Asia,100MB_file,rsync_ssh_reno,1.34
2025-08-21 03:55:31,Asia,10MB_file,rsync_hop,1.12
2025-08-21 03:55:58,Asia,10MB_file,rsync_ssh_reno,1.46
2025-08-21 04:00:57,Asia,1GB_file,rsync_hop,3.73
2025-08-21 04:06:19,Asia,1GB_file,rsync_ssh_reno,3.25
2025-08-21 04:17:31,Asia,100MB_file,rsync_hop,2.66
